Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2006,LaDainian Tomlinson,27,Rosebud,TX,SDG,16,16,2,3,20,2,0,348,1815,5.22,28,56,508,9.07,3,RB,427,70,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Peyton Manning,37,New Orleans,LA,DEN,16,16,450,659,5477,55,10,32,-31,-0.97,1,0,0,,0,QB,410,77,230,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Tom Brady,30,San Mateo,CA,NWE,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,,0,QB,398,76,225,Michigan,Big Ten,124,64,8/3/77,6,2000,33,5.28,0,24.5,99,4.38,7.2
2011,Aaron Rodgers,28,Chico,CA,GNB,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,,0,QB,397,74,223,California,Pac 12,90,94,12/2/83,1,2005,39,4.71,0,34.5,110,0,7.39
2011,Drew Brees,32,Austin,TX,NOR,16,16,468,657,5476,46,14,21,86,4.1,1,0,0,,0,QB,396,73,209,Purdue,Big Ten,92,94,1/15/79,2,2001,28,4.83,0,32,105,4.21,7.09
2004,Daunte Culpepper,27,Ocala,FL,MIN,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,,0,QB,381,76,264,Central Florida,American,99,86,1/28/77,1,1999,18,4.52,0,39,122,4.13,7.21
2000,Marshall Faulk,27,New Orleans,LA,STL,14,14,0,0,0,0,0,253,1359,5.37,18,81,830,10.25,8,RB,381,70,211,San Diego St.,Mountain West,77,104,2/26/73,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Cam Newton,22,College Park,GA,CAR,16,16,310,517,4051,21,17,126,706,5.6,14,1,27,27,0,QB,373,78,260,Auburn,SEC,130,61,5/11/89,1,2011,21,4.56,0,35,126,4.18,6.92
2003,Priest Holmes,30,Fort Smith,AR,KAN,16,16,0,1,0,0,0,320,1420,4.44,27,74,690,9.32,0,RB,373,69,213,Texas,Big 12,149,45,10/7/73,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Priest Holmes,29,Fort Smith,AR,KAN,14,14,0,1,0,0,0,313,1615,5.16,21,70,672,9.6,3,RB,373,69,213,Texas,Big 12,149,45,10/7/73,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Tom Brady,34,San Mateo,CA,NWE,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,,0,QB,370,76,225,Michigan,Big Ten,124,64,8/3/77,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Shaun Alexander,28,Florence,KY,SEA,16,16,0,0,0,0,0,370,1880,5.08,27,15,78,5.2,1,RB,364,71,225,Alabama,SEC,114,58,8/30/77,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Peyton Manning,28,New Orleans,LA,IND,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,,0,QB,362,77,230,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Drew Brees,34,Austin,TX,NOR,16,16,446,650,5162,39,12,35,52,1.49,3,0,0,,0,QB,358,73,209,Purdue,Big Ten,92,94,1/15/79,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Aaron Rodgers,26,Chico,CA,GNB,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,,0,QB,351,74,0,California,Pac 12,90,94,12/2/83,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Daunte Culpepper,23,Ocala,FL,MIN,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,,0,QB,350,76,264,Central Florida,American,99,86,1/28/77,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Chris Johnson,24,Orlando,FL,TEN,16,16,0,1,0,0,0,358,2006,5.6,14,50,503,10.06,2,RB,349,71,195,East Carolina,American,97,90,9/23/85,1,2008,10,4.24,0,35,0,0,0
2012,Drew Brees,33,Austin,TX,NOR,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,,0,QB,346,73,0,Purdue,Big Ten,92,94,1/0/00,2,2001,28,4.83,0,32,105,4.21,7.09
2011,Matthew Stafford,23,Tampa,FL,DET,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,,0,QB,345,74,230,Georgia,SEC,142,53,2/7/88,1,2009,38,4.81,0,30.5,107,4.47,7.06
2003,Ahman Green,26,Omaha,NE,GNB,16,16,0,0,0,0,0,355,1883,5.3,15,50,367,7.34,5,RB,345,73,217,Nebraska,Big Ten,134,61,2/16/77,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Aaron Rodgers,29,Chico,CA,GNB,16,16,371,552,4295,39,8,54,259,4.8,2,1,-1,-1,0,QB,344,74,0,California,Pac 12,90,94,1/0/00,1,2005,39,4.71,0,34.5,110,0,7.39
2003,LaDainian Tomlinson,24,Rosebud,TX,SDG,16,16,1,1,21,1,0,313,1645,5.26,13,100,725,7.25,4,RB,344,70,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2001,Marshall Faulk,28,New Orleans,LA,STL,14,14,0,1,0,0,0,260,1382,5.32,12,83,765,9.22,9,RB,343,70,211,San Diego St.,Mountain West,77,104,2/26/73,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Jeff Garcia,30,Gilroy,CA,SFO,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,,0,QB,343,73,195,San Jose St.,Mountain West,72,107,2/24/70,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Edgerrin James,22,Immokalee,FL,IND,16,16,0,0,0,0,0,387,1709,4.42,13,63,594,9.43,5,RB,340,73,214,Miami (FL),ACC,130,58,8/1/78,1,1999,0,4.38,0,0,0,3.88,6.87
2012,Tom Brady,35,San Mateo,CA,NWE,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,,0,QB,340,76,0,Michigan,Big Ten,124,64,1/0/00,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Larry Johnson,26,State College,PA,KAN,16,9,0,0,0,0,0,336,1750,5.21,20,33,343,10.39,1,RB,335,73,228,Penn St.,Big Ten,15,68,11/19/79,1,2003,0,4.55,19,0,0,0,0
2006,Larry Johnson,27,State College,PA,KAN,16,16,0,1,0,0,0,416,1789,4.3,17,41,410,10,2,RB,334,73,228,Penn St.,Big Ten,15,68,11/19/79,1,2003,0,4.55,19,0,0,0,0
2010,Arian Foster,24,San Diego,CA,HOU,16,13,0,0,0,0,0,327,1616,4.94,16,66,604,9.15,2,RB,330,73,232,Tennessee,SEC,113,75,8/24/86,0,0,0,4.68,23,0,0,0,0
1999,Kurt Warner,28,Burlington,IA,STL,16,16,325,499,4353,41,13,23,92,4,1,0,0,,0,QB,329,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/71,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Steven Jackson,23,Las Vegas,NV,STL,16,16,0,0,0,0,0,346,1528,4.42,13,90,806,8.96,3,RB,329,75,229,Oregon St.,Pac 12,111,76,7/22/83,1,2004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Ricky Williams,25,Dallas,TX,MIA,16,16,0,0,0,0,0,383,1853,4.84,16,47,363,7.72,1,RB,324,67,195,Texas Tech,Big 12,120,70,8/29/78,0,0,0,4.47,32.5,32.5,110,0,0
2012,Cam Newton,23,College Park,GA,CAR,16,16,280,485,3869,19,12,127,741,5.83,8,0,6,,0,QB,323,78,0,Auburn,SEC,130,61,1/0/00,1,2011,21,4.56,0,35,126,4.18,6.92
2012,Robert Griffin,22,Okinawa,Japan,WAS,15,15,258,393,3200,20,5,120,815,6.79,7,0,0,,0,QB,318,74,0,Baylor,Big 12,71,108,1/0/00,1,2012,24,4.33,0,39,120,0,0
1999,Marshall Faulk,26,New Orleans,LA,STL,16,16,0,1,0,0,0,253,1381,5.46,7,87,1048,12.05,5,RB,317,70,211,San Diego St.,Mountain West,77,104,2/26/73,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,LaDainian Tomlinson,26,Rosebud,TX,SDG,16,16,3,4,47,3,0,339,1462,4.31,18,51,370,7.25,2,RB,317,70,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,18,40.5,0,4.21,6.84
1999,Edgerrin James,21,Immokalee,FL,IND,16,16,0,0,0,0,0,369,1553,4.21,13,62,586,9.45,4,RB,316,73,214,Miami (FL),ACC,130,58,8/1/78,1,1999,0,4.38,0,0,0,3.88,6.87
1999,Steve Beuerlein,34,Los Angeles,CA,CAR,16,16,343,571,4436,36,15,27,124,4.59,2,0,0,,0,QB,316,75,220,Notre Dame,Independent,112,74,3/7/65,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Michael Vick,30,Newport News,VA,PHI,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,,0,QB,316,73,0,Virginia Tech,ACC,147,50,6/26/80,1,2001,20,4.33,0,38,0,0,0
2006,Peyton Manning,30,New Orleans,LA,IND,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,,0,QB,313,77,0,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Jamal Lewis,24,Atlanta,GA,BAL,16,16,0,0,0,0,0,387,2066,5.34,14,26,205,7.88,0,RB,311,71,240,Tennessee,SEC,113,75,8/29/79,1,2000,0,4.58,0,0,0,0,0
2012,Peyton Manning,36,New Orleans,LA,DEN,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,,0,QB,311,77,0,Tennessee,SEC,113,75,1/0/00,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Rich Gannon,37,Philadelphia,PA,OAK,16,16,418,618,4689,26,10,50,156,3.12,3,0,0,,0,QB,309,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/65,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,LaDainian Tomlinson,28,Rosebud,TX,SDG,16,16,1,1,17,1,0,315,1474,4.68,15,60,475,7.92,3,RB,308,12,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Jamaal Charles,27,Port Arthur,TX,KAN,15,15,0,0,0,0,0,259,1287,4.97,12,70,693,9.9,7,RB,308,73,200,Texas,Big 12,149,45,12/27/86,3,2008,0,4.38,0,30.5,122,4.22,6.8
2004,Shaun Alexander,27,Florence,KY,SEA,16,16,0,0,0,0,0,353,1696,4.8,16,23,170,7.39,4,RB,307,71,225,Alabama,SEC,114,58,8/30/77,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Adrian Peterson,27,Palestine,TX,MIN,16,16,0,0,0,0,0,348,2097,6.03,12,40,217,5.43,1,RB,307,74,217,Oklahoma,Big 12,160,39,3/21/85,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,LaDainian Tomlinson,23,Rosebud,TX,SDG,16,16,0,0,0,0,0,372,1683,4.52,14,79,489,6.19,1,RB,307,70,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2005,Tiki Barber,30,Roanoke,VA,NYG,16,16,0,1,0,0,0,357,1860,5.21,9,54,530,9.81,2,RB,307,70,200,Virginia,ACC,90,95,4/7/75,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Aaron Rodgers,27,Chico,CA,GNB,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,,0,QB,306,74,0,California,Pac 12,90,94,12/2/83,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Rich Gannon,35,Philadelphia,PA,OAK,16,16,284,473,3430,28,11,89,529,5.94,4,0,0,,0,QB,306,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/65,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Drew Brees,30,Austin,TX,NOR,15,15,363,514,4388,34,11,22,33,1.5,2,1,-4,-4,0,QB,306,73,0,Purdue,Big Ten,92,94,1/15/79,2,2001,28,4.83,0,32,105,4.21,7.09
2012,Matt Ryan,27,Exton,PA,ATL,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,,0,QB,305,77,0,Boston Col.,ACC,116,74,1/0/00,1,2008,32,4.89,0,0,0,4.51,7.4
2008,Drew Brees,29,Austin,TX,NOR,16,16,413,635,5069,34,17,22,-1,-0.05,0,0,0,,0,QB,305,73,0,Purdue,Big Ten,92,94,1/15/79,2,2001,28,4.83,0,32,105,4.21,7.09
2001,Jeff Garcia,31,Gilroy,CA,SFO,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,,0,QB,305,73,195,San Jose St.,Mountain West,72,107,2/24/70,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Daunte Culpepper,25,Ocala,FL,MIN,16,16,333,549,3853,18,23,106,609,5.75,10,0,0,,0,QB,303,76,264,Central Florida,American,99,86,1/28/77,1,1999,18,4.52,39,39,122,4.13,7.21
2004,Donovan McNabb,28,Chicago,IL,PHI,15,15,300,469,3875,31,8,41,220,5.37,3,0,0,,0,QB,303,74,240,Syracuse,ACC,81,101,11/25/76,1,1999,14,4.64,0,33,117,4.38,7.3
2010,Tom Brady,33,San Mateo,CA,NWE,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,,0,QB,301,76,0,Michigan,Big Ten,124,64,8/3/77,6,2000,33,5.28,0,24.5,99,4.38,7.2
2001,Kurt Warner,30,Burlington,IA,STL,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,,0,QB,301,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/71,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Ray Rice,24,New Rochelle,NY,BAL,16,16,1,1,1,1,0,291,1364,4.69,12,76,704,9.26,3,RB,301,69,195,Rutgers,Big Ten,87,96,1/22/87,2,2008,0,4.42,23,31.5,119,4.2,6.65
2000,Peyton Manning,24,New Orleans,LA,IND,16,16,357,571,4413,33,15,37,116,3.14,1,0,0,,0,QB,300,77,230,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Tiki Barber,29,Roanoke,VA,NYG,16,14,0,0,0,0,0,322,1518,4.71,13,52,578,11.12,2,RB,300,70,200,Virginia,ACC,90,95,4/7/75,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Tony Romo,27,San Diego,CA,DAL,16,16,335,520,4211,36,19,31,129,4.16,2,0,0,,0,QB,299,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/80,0,0,30,5.01,0,30,105,4.2,7.11
2013,Cam Newton,24,College Park,GA,CAR,16,16,292,473,3379,24,13,111,585,5.27,6,0,0,,0,QB,298,78,260,Auburn,SEC,130,61,5/11/89,1,2011,21,4.56,0,35,126,4.18,6.92
2008,Aaron Rodgers,25,Chico,CA,GNB,16,16,341,536,4038,28,13,56,207,3.7,4,0,0,,0,QB,296,74,0,California,Pac 12,90,94,12/2/83,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Donovan McNabb,24,Chicago,IL,PHI,16,16,330,569,3365,21,13,86,629,7.31,6,2,5,2.5,0,QB,294,74,240,Syracuse,ACC,81,101,11/25/76,1,1999,14,4.64,33,33,117,4.38,7.3
2013,Andrew Luck,24,Washington,DC,IND,16,16,343,570,3822,23,9,63,377,5.98,4,0,0,,0,QB,293,75,235,Stanford,Pac 12,101,81,9/12/89,1,2012,37,4.59,0,36,124,4.28,6.8
2002,Michael Vick,22,Newport News,VA,ATL,15,15,231,421,2936,16,8,113,777,6.88,8,0,16,,0,QB,293,73,215,Virginia Tech,ACC,147,50,6/26/80,1,2001,20,4.33,38,38,0,0,0
2000,Eddie George,27,Philadelphia,PA,TEN,16,16,0,0,0,0,0,403,1509,3.74,14,50,453,9.06,2,RB,292,75,235,Ohio St.,Big Ten,138,41,9/24/73,1,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Philip Rivers,29,Decatur,AL,SDG,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,,0,QB,290,77,0,North Carolina St.,ACC,98,88,12/8/81,1,2004,30,5.08,0,0,0,0,0
2009,Adrian Peterson,24,Palestine,TX,MIN,16,15,0,0,0,0,0,314,1383,4.4,18,43,436,10.14,0,RB,290,70,210,Oklahoma,Big 12,160,39,3/21/85,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,Clinton Portis,21,Laurel,MS,DEN,16,12,0,0,0,0,0,273,1508,5.52,15,33,364,11.03,2,RB,289,71,205,Miami (FL),ACC,130,58,9/1/81,2,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Eli Manning,30,New Orleans,LA,NYG,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,,0,QB,289,76,218,Mississippi,SEC,92,91,1/3/81,1,2004,39,4.9,0,0,0,0,0
2010,Peyton Manning,34,New Orleans,LA,IND,16,16,450,679,4700,33,17,18,18,1,0,0,0,,0,QB,288,77,0,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Randy Moss,30,Rand,WV,NWE,16,16,0,0,0,0,0,0,0,,0,98,1493,15.23,23,WR,287,76,215,Marshall,Conference USA,107,80,2/13/77,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Philip Rivers,32,Decatur,AL,SDG,16,16,378,544,4478,32,11,28,72,2.57,0,0,-9,,0,QB,287,77,228,North Carolina St.,ACC,98,88,12/8/81,1,2004,30,5.08,0,0,0,0,0
2008,Philip Rivers,27,Decatur,AL,SDG,16,16,312,478,4009,34,11,31,84,2.71,0,0,0,,0,QB,287,77,0,North Carolina St.,ACC,98,88,12/8/81,1,2004,30,5.08,0,0,0,0,0
2009,Brett Favre,40,Gulfport,MS,MIN,16,16,363,531,4202,33,7,9,7,0.78,0,1,-2,-2,0,QB,287,74,0,Southern Miss,Conference USA,104,85,10/10/69,2,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,LaDainian Tomlinson,25,Rosebud,TX,SDG,15,15,1,2,38,0,0,339,1335,3.94,17,53,441,8.32,1,RB,287,70,221,TCU,Big 12,138,49,6/23/79,1,2001,0,4.46,18,40.5,0,4.21,6.84
2008,DeAngelo Williams,25,Little Rock,AR,CAR,16,16,0,0,0,0,0,273,1515,5.55,18,22,121,5.5,2,RB,286,68,210,Memphis,American,68,112,4/25/83,1,2006,0,4.49,25,35.5,0,0,0
2013,Andy Dalton,26,0,,CIN,16,16,363,586,4293,33,20,61,183,3,2,0,0,,0,QB,286,74,215,TCU,Big 12,138,49,1/0/00,2,2011,29,4.83,0,29.5,106,4.27,6.93
2003,Daunte Culpepper,26,Ocala,FL,MIN,14,14,295,454,3479,25,11,73,422,5.78,4,0,0,,0,QB,285,76,0,Central Florida,American,99,86,1/28/77,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Matt Schaub,28,West Chester,PA,HOU,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,,0,QB,285,77,0,Virginia,ACC,90,95,6/25/81,3,2004,30,5.04,0,30.5,110,4.66,7.65
2011,Tony Romo,31,San Diego,CA,DAL,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,,0,QB,282,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/80,0,0,30,5.01,0,30,105,4.2,7.11
2009,Tony Romo,29,San Diego,CA,DAL,16,16,347,550,4483,26,9,35,105,3,1,0,0,,0,QB,282,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/80,0,0,30,5.01,0,30,105,4.2,7.11
2011,LeSean McCoy,23,Harrisburg,PA,PHI,15,15,0,0,0,0,0,273,1309,4.79,17,48,315,6.56,3,RB,282,12,215,Pittsburgh,ACC,106,80,7/12/88,2,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Brian Westbrook,28,Washington,DC,PHI,15,15,0,0,0,0,0,278,1333,4.79,7,90,771,8.57,5,RB,282,68,200,Villanova,Big East,#N/A,#N/A,9/2/79,3,2002,0,4.57,26,37,118,0,7.09
2008,Jay Cutler,25,Santa Claus,IN,DEN,16,16,384,616,4526,25,18,57,200,3.51,2,0,0,,0,QB,281,75,0,Vanderbilt,SEC,65,114,4/29/83,1,2006,26,4.77,0,0,0,4.31,7.12
2001,Rich Gannon,36,Philadelphia,PA,OAK,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,,0,QB,280,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/65,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Matt Ryan,26,Exton,PA,ATL,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,,0,QB,279,77,224,Boston Col.,ACC,116,74,5/17/85,1,2008,32,4.89,0,0,0,4.51,7.4
2012,Tony Romo,32,San Diego,CA,DAL,16,16,425,648,4903,28,19,30,49,1.63,1,1,-1,-1,0,QB,279,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,1/0/00,0,0,30,5.01,0,30,105,4.2,7.11
2013,Matthew Stafford,25,Tampa,FL,DET,16,16,371,634,4650,29,19,37,69,1.86,2,0,0,,0,QB,279,74,230,Georgia,SEC,142,53,2/7/88,1,2009,38,4.81,0,30.5,107,4.47,7.06
2013,LeSean McCoy,25,Harrisburg,PA,PHI,16,16,0,0,0,0,0,314,1607,5.12,9,52,539,10.37,2,RB,279,70,215,Pittsburgh,ACC,106,80,7/12/88,2,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Peyton Manning,33,New Orleans,LA,IND,16,16,393,571,4500,33,16,19,-13,-0.68,0,0,0,,0,QB,279,77,0,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Curtis Martin,31,Pittsburgh,PA,NYJ,16,16,0,0,0,0,0,371,1697,4.57,12,41,245,5.98,2,RB,278,71,210,Pittsburgh,ACC,106,80,5/1/73,3,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Russell Wilson,24,Richmond,VA,SEA,16,16,252,393,3118,26,10,94,489,5.2,4,0,0,,0,QB,278,71,0,Wisconsin,Big Ten,135,60,1/0/00,3,0,28,4.53,0,34,118,4.09,6.97
2003,Clinton Portis,22,Laurel,MS,DEN,13,13,0,0,0,0,0,290,1591,5.49,14,38,314,8.26,0,RB,277,71,205,Miami (FL),ACC,130,58,9/1/81,2,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Kurt Warner,37,Burlington,IA,ARI,16,16,401,598,4583,30,14,18,-2,-0.11,0,0,0,,0,QB,277,74,0,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/71,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Peyton Manning,31,New Orleans,LA,IND,16,16,337,515,4040,31,14,20,-5,-0.25,3,0,0,,0,QB,277,77,230,Tennessee,SEC,113,75,3/24/76,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A